variable,value,Matches
Chelsea FC,3,1
Chelsea FC,6,2
Chelsea FC,9,3
Chelsea FC,12,4
Chelsea FC,13,5
Chelsea FC,16,6
Chelsea FC,19,7
Chelsea FC,22,8
Chelsea FC,23,9
Chelsea FC,26,10
Chelsea FC,29,11
Chelsea FC,32,12
Chelsea FC,33,13
Chelsea FC,36,14
Chelsea FC,36,15
Chelsea FC,39,16
Chelsea FC,42,17
Chelsea FC,45,18
Chelsea FC,46,19
Chelsea FC,46,20
Chelsea FC,49,21
Chelsea FC,52,22
Chelsea FC,53,23
Chelsea FC,56,24
Chelsea FC,59,25
Chelsea FC,60,26
Chelsea FC,63,27
Chelsea FC,64,28
Chelsea FC,67,29
Chelsea FC,70,30
Chelsea FC,73,31
Chelsea FC,76,32
Chelsea FC,77,33
Chelsea FC,80,34
Chelsea FC,83,35
Chelsea FC,84,36
Chelsea FC,84,37
Chelsea FC,87,38
Leicester FC,1,1
Leicester FC,1,2
Leicester FC,2,3
Leicester FC,5,4
Leicester FC,8,5
Leicester FC,8,6
Leicester FC,9,7
Leicester FC,9,8
Leicester FC,9,9
Leicester FC,9,10
Leicester FC,9,11
Leicester FC,10,12
Leicester FC,10,13
Leicester FC,10,14
Leicester FC,10,15
Leicester FC,10,16
Leicester FC,10,17
Leicester FC,10,18
Leicester FC,13,19
Leicester FC,14,20
Leicester FC,17,21
Leicester FC,17,22
Leicester FC,17,23
Leicester FC,17,24
Leicester FC,17,25
Leicester FC,18,26
Leicester FC,18,27
Leicester FC,19,28
Leicester FC,19,29
Leicester FC,22,30
Leicester FC,25,31
Leicester FC,28,32
Leicester FC,31,33
Leicester FC,31,34
Leicester FC,34,35
Leicester FC,37,36
Leicester FC,38,37
Leicester FC,41,38
