,country_id,country,league,season,stage,date,match_year,match_api_id,team_flag,team_api_id,team_long_name,team_short_name,team_goals,result,points,player_api_id,player_name,birthday,height,weight,cumpoints
237725,1729,England,Premier League,2015/2016,1,2015-08-08,2015,1987036,home_team,8197,Leicester City,LEI,4,won,3,20694,Shinji Okazaki,1986-04-16,175.26,168,3
237739,1729,England,Premier League,2015/2016,2,2015-08-15,2015,1987087,away_team,8197,Leicester City,LEI,2,won,3,20694,Shinji Okazaki,1986-04-16,175.26,168,6
237726,1729,England,Premier League,2015/2016,3,2015-08-22,2015,1988733,home_team,8197,Leicester City,LEI,1,draw,1,20694,Shinji Okazaki,1986-04-16,175.26,168,7
109501,1729,England,Premier League,2015/2016,4,2015-08-29,2015,1988741,away_team,8197,Leicester City,LEI,1,draw,1,319300,N'Golo Kante,1991-03-29,170.18,152,8
237727,1729,England,Premier League,2015/2016,5,2015-09-13,2015,1988753,home_team,8197,Leicester City,LEI,3,won,3,20694,Shinji Okazaki,1986-04-16,175.26,168,11
109502,1729,England,Premier League,2015/2016,6,2015-09-19,2015,1988767,away_team,8197,Leicester City,LEI,2,draw,1,319300,N'Golo Kante,1991-03-29,170.18,152,12
109486,1729,England,Premier League,2015/2016,7,2015-09-26,2015,1988770,home_team,8197,Leicester City,LEI,2,lost,0,319300,N'Golo Kante,1991-03-29,170.18,152,12
109503,1729,England,Premier League,2015/2016,8,2015-10-03,2015,1988787,away_team,8197,Leicester City,LEI,2,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,15
109504,1729,England,Premier League,2015/2016,9,2015-10-17,2015,1988795,away_team,8197,Leicester City,LEI,2,draw,1,319300,N'Golo Kante,1991-03-29,170.18,152,16
109487,1729,England,Premier League,2015/2016,10,2015-10-24,2015,1988803,home_team,8197,Leicester City,LEI,1,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,19
109505,1729,England,Premier League,2015/2016,11,2015-10-31,2015,1988819,away_team,8197,Leicester City,LEI,3,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,22
109488,1729,England,Premier League,2015/2016,12,2015-11-07,2015,1988823,home_team,8197,Leicester City,LEI,2,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,25
109506,1729,England,Premier League,2015/2016,13,2015-11-21,2015,1988834,away_team,8197,Leicester City,LEI,3,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,28
109489,1729,England,Premier League,2015/2016,14,2015-11-28,2015,1988843,home_team,8197,Leicester City,LEI,1,draw,1,319300,N'Golo Kante,1991-03-29,170.18,152,29
109507,1729,England,Premier League,2015/2016,15,2015-12-05,2015,1988857,away_team,8197,Leicester City,LEI,3,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,32
109490,1729,England,Premier League,2015/2016,16,2015-12-14,2015,1988863,home_team,8197,Leicester City,LEI,2,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,35
109508,1729,England,Premier League,2015/2016,17,2015-12-19,2015,1988872,away_team,8197,Leicester City,LEI,3,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,38
109509,1729,England,Premier League,2015/2016,18,2015-12-26,2015,1988883,away_team,8197,Leicester City,LEI,0,lost,0,319300,N'Golo Kante,1991-03-29,170.18,152,38
109491,1729,England,Premier League,2015/2016,19,2015-12-29,2015,1988893,home_team,8197,Leicester City,LEI,0,draw,1,319300,N'Golo Kante,1991-03-29,170.18,152,39
109492,1729,England,Premier League,2015/2016,20,2016-01-02,2016,1988903,home_team,8197,Leicester City,LEI,0,draw,1,319300,N'Golo Kante,1991-03-29,170.18,152,40
109510,1729,England,Premier League,2015/2016,21,2016-01-13,2016,1988919,away_team,8197,Leicester City,LEI,1,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,43
109511,1729,England,Premier League,2015/2016,22,2016-01-16,2016,1988920,away_team,8197,Leicester City,LEI,1,draw,1,319300,N'Golo Kante,1991-03-29,170.18,152,44
109493,1729,England,Premier League,2015/2016,23,2016-01-23,2016,1988933,home_team,8197,Leicester City,LEI,3,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,47
109494,1729,England,Premier League,2015/2016,24,2016-02-02,2016,1988941,home_team,8197,Leicester City,LEI,2,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,50
109512,1729,England,Premier League,2015/2016,25,2016-02-06,2016,1988954,away_team,8197,Leicester City,LEI,3,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,53
109513,1729,England,Premier League,2015/2016,26,2016-02-14,2016,1988960,away_team,8197,Leicester City,LEI,1,lost,0,319300,N'Golo Kante,1991-03-29,170.18,152,53
109495,1729,England,Premier League,2015/2016,27,2016-02-27,2016,1988970,home_team,8197,Leicester City,LEI,1,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,56
210196,1729,England,Premier League,2015/2016,28,2016-03-01,2016,1988983,home_team,8197,Leicester City,LEI,2,draw,1,43061,Christian Fuchs,1986-04-07,185.42,190,57
109514,1729,England,Premier League,2015/2016,29,2016-03-05,2016,1988998,away_team,8197,Leicester City,LEI,1,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,60
109496,1729,England,Premier League,2015/2016,30,2016-03-14,2016,1989003,home_team,8197,Leicester City,LEI,1,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,63
109515,1729,England,Premier League,2015/2016,31,2016-03-19,2016,1989011,away_team,8197,Leicester City,LEI,1,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,66
109497,1729,England,Premier League,2015/2016,32,2016-04-03,2016,1989023,home_team,8197,Leicester City,LEI,1,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,69
109516,1729,England,Premier League,2015/2016,33,2016-04-10,2016,1989035,away_team,8197,Leicester City,LEI,2,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,72
109498,1729,England,Premier League,2015/2016,34,2016-04-17,2016,1989044,home_team,8197,Leicester City,LEI,2,draw,1,319300,N'Golo Kante,1991-03-29,170.18,152,73
109499,1729,England,Premier League,2015/2016,35,2016-04-24,2016,1989053,home_team,8197,Leicester City,LEI,4,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,76
109517,1729,England,Premier League,2015/2016,36,2016-05-01,2016,1989063,away_team,8197,Leicester City,LEI,1,draw,1,319300,N'Golo Kante,1991-03-29,170.18,152,77
109500,1729,England,Premier League,2015/2016,37,2016-05-07,2016,1989073,home_team,8197,Leicester City,LEI,3,won,3,319300,N'Golo Kante,1991-03-29,170.18,152,80
109518,1729,England,Premier League,2015/2016,38,2016-05-15,2016,1987598,away_team,8197,Leicester City,LEI,1,draw,1,319300,N'Golo Kante,1991-03-29,170.18,152,81
111797,1729,England,Premier League,2015/2016,1,2015-08-08,2015,1987034,home_team,8455,Chelsea,CHE,2,draw,1,107417,Eden Hazard,1991-01-07,172.72,163,1
111856,1729,England,Premier League,2015/2016,2,2015-08-16,2015,1987081,away_team,8455,Chelsea,CHE,0,lost,0,107417,Eden Hazard,1991-01-07,172.72,163,1
111857,1729,England,Premier League,2015/2016,3,2015-08-23,2015,1988738,away_team,8455,Chelsea,CHE,3,won,3,107417,Eden Hazard,1991-01-07,172.72,163,4
111798,1729,England,Premier League,2015/2016,4,2015-08-29,2015,1988742,home_team,8455,Chelsea,CHE,1,lost,0,107417,Eden Hazard,1991-01-07,172.72,163,4
111858,1729,England,Premier League,2015/2016,5,2015-09-12,2015,1988752,away_team,8455,Chelsea,CHE,1,lost,0,107417,Eden Hazard,1991-01-07,172.72,163,4
